text,label
good game! needs segs,Positive
HOLY FLIP!!!! i thought this game was family friendly so I played it with my family. IT WAS NOT IN ANY FORM FRIENDLY!!!!! first thing that happened to me and my family was that a BIG BOOTY shark attacked us!!!!!! it ate out our raft and eventually got a hold of us!!! it was so scary we started panicking but it was to late...... THE SHARK was ALREADY on us and getting down. of course we couldn't do anything because it was QUADRUPLE our size!!!!! DONT RECOMMEND!!!!!!!!!!!,Positive
Baldur's Gate lll is just not my cup of tea.,Negative
IDK,Positive
Great Game!,Positive
Communism,Positive
"Early Access ReviewIts ok, gets boring after a while",Negative
Fun game,Positive
"Reminds me how good we actually have it over in Destiny 2. Which itself is telling, honestly.",Negative
"What's wrong with this game? I have 13900K and RTX 4090, but the game moves very slowly, and I randomly teleport to the previous place. Why does it need internet for the single campaign? How to disable synchronization with the server?",Negative
The game's humor and witty dialogue add a whole new level of enjoyment.,Positive
amazing,Positive
The coolest game in the world,Positive
"frustrating game cannot understand how to win a gamea lot of misunderstanding and misinformationai sucks, servers lag, graphical glitches, games are too long even on a high speed",Negative
The empty planets suck what little enjoyment is found in the story.,Negative
"Nice game and enjoyable enough to give it a go, But if you want co op then it's a BLAST...",Positive
"Brought this game originally on Ubisoft and brought again after Ubisoft released on Steam for my Steam Deck.Game plays well on both my linux gaming rig and Steam Deck. Had to do minimal tweaking on my gaming rig, and got decent battery life on Steam Deck with the refresh rate locked to 40fps.Story line is good, and the end game does become a tad repetitive but I don't mind that.",Positive
"Ok, This is really good, top notch story and fun challenging gameplayLIE or DIEE is the wayyyy",Positive
"the game keeps crashing, it doesn't work, I spent money for nothing. In the beginning, until it crashed, it was a brutal game",Negative
In this game you fighting not monsters but game bugs. It crashes so much that it's absolutely unplayable.,Negative
darkest dungeon? more like brightest dungeoncool game but wouldnt recommend playing it,Negative
dont play this,Positive
is good ya?,Positive
Worth it only with friends and on sale as someone new to dungeon crawlers,Positive
This game takes a lot of work and is kinda hard but it is super fun.,Positive
Yet another game that requires another online login just to play a single player game.So sick of this.What's the game like you might ask ?Who cares !,Negative
no,Negative
god,Positive
Product received for freeit's giving me problems it won't let me get into the game,Negative
yes thumb emoji.,Positive
YES,Positive
Don't buy this game.,Negative
"Game constantly crashes and is barely playable with an even moderately sized city. Graphics settings turned all the way down with an RTX3090, i9-10900KF, and 32GB of RAM. I try to come back every time there is an update hoping it gets fixed. Don't buy until they fix the issues to make the game playable.",Negative
FUN,Positive
cuz,Positive
you cant date sans,Negative
undyne the unding took my girl friend,Negative
